County FIPS,Total Population 2042,Affected Population 2042,Total Population 2059,Affected Population 2059,Total Population 2071,Affected Population 2071,Total Population 2082,Affected Population 2082,Total Population 2091,Affected Population 2091,Total Population 2100,Affected Population 2100,
01001,75026.083303,0.000000,85793.892861,0.000000,93404.109103,0.000000,100385.536214,0.000000,106100.843700,0.000000,111818.665022,0.000000,
01003,255284.070672,5236.769695,293115.199736,13735.941650,319819.526133,18918.263758,344298.491998,23262.786425,364326.736796,26284.630257,384354.981594,30432.478937,
01005,32916.391040,0.000000,35923.481033,0.000000,38058.842373,0.000000,40023.594705,0.000000,41635.534825,0.000000,43250.924975,0.000000,
01007,27928.724313,0.000000,30607.910887,0.000000,32505.428074,0.000000,34248.485551,0.000000,35676.835878,0.000000,37106.918684,0.000000,
01009,76781.224362,0.000000,87070.471455,0.000000,94333.469402,0.000000,100991.217521,0.000000,106438.465981,0.000000,111885.714442,0.000000,
01011,11474.439580,0.000000,11813.613758,0.000000,12065.070948,0.000000,12302.547294,0.000000,12501.051982,0.000000,12702.848776,0.000000,
01013,24663.551311,0.000000,26700.006053,0.000000,28153.387168,0.000000,29494.751479,0.000000,30597.675036,0.000000,31704.831487,0.000000,
01015,159994.968446,0.000000,182170.204936,0.000000,197832.877933,0.000000,212195.859278,0.000000,223950.721234,0.000000,235708.188505,0.000000,
01017,41872.498825,0.000000,45841.320907,0.000000,48656.963064,0.000000,51246.153378,0.000000,53369.520782,0.000000,55496.755988,0.000000,
01019,35255.198166,0.000000,39887.389907,0.000000,43157.172313,0.000000,46154.472851,0.000000,48606.809655,0.000000,51059.146459,0.000000,
01021,56915.889663,0.000000,63945.629830,0.000000,68907.799359,0.000000,73456.454761,0.000000,77178.081908,0.000000,80899.709055,0.000000,
01023,16965.480407,0.000000,18632.316391,0.000000,19815.151552,0.000000,20903.010655,0.000000,21795.234406,0.000000,22689.140285,0.000000,
01025,32177.611624,1.368151,35633.769370,3.892670,38076.116594,5.288569,40316.510530,8.503394,42150.513868,8.773626,43985.266073,10.690792,
01027,16997.963502,0.000000,18627.121115,0.000000,19781.513779,0.000000,20842.258455,0.000000,21711.680600,0.000000,22582.309198,0.000000,
01029,18787.354987,0.000000,20808.312172,0.000000,22236.295065,0.000000,23546.117787,0.000000,24618.302334,0.000000,25690.891043,0.000000,
01031,65956.483435,0.000000,74523.711590,0.000000,80575.435109,0.000000,86125.344485,0.000000,90667.695301,0.000000,95211.239628,0.000000,
01033,72984.090732,0.000000,82820.927520,0.000000,89769.121451,0.000000,96140.905844,0.000000,101355.744946,0.000000,106571.798645,0.000000,
01035,15075.613035,0.000000,16118.943522,0.000000,16864.684790,0.000000,17553.640324,0.000000,18120.558480,0.000000,18689.999619,0.000000,
01037,14838.761245,0.000000,16593.924476,0.000000,17835.946226,0.000000,18976.247561,0.000000,19910.293820,0.000000,20845.178279,0.000000,
01039,46712.113752,0.000000,51477.970838,0.000000,54850.960404,0.000000,57947.993696,0.000000,60485.020266,0.000000,63024.464852,0.000000,
01041,15445.094649,0.000000,16308.466949,0.000000,16928.285400,0.000000,17502.432440,0.000000,17975.782096,0.000000,18451.935356,0.000000,
01043,108715.780486,0.000000,123613.047458,0.000000,134130.030050,0.000000,143771.339303,0.000000,151660.134758,0.000000,159549.286368,0.000000,
01045,69458.890325,0.000000,79664.073883,0.000000,86869.375285,0.000000,93475.193196,0.000000,98880.534303,0.000000,104286.332220,0.000000,
01047,54841.529803,0.000000,60828.179365,0.000000,65093.179768,0.000000,69024.797734,0.000000,72254.602636,0.000000,75494.437352,0.000000,
01049,93705.100536,0.000000,105794.926202,0.000000,114332.955328,0.000000,122161.813380,0.000000,128568.646284,0.000000,134976.576249,0.000000,
01051,105688.717463,0.000000,119426.262141,0.000000,129129.675590,0.000000,138028.095814,0.000000,145310.790985,0.000000,152595.173605,0.000000,
01053,49055.236423,0.000000,54777.166457,0.000000,58820.872615,0.000000,62530.263058,0.000000,65566.797003,0.000000,68604.549331,0.000000,
01055,136397.435030,0.000000,153562.040631,0.000000,165704.077397,0.000000,176849.141055,0.000000,185976.748308,0.000000,195111.307695,0.000000,
01057,21168.184968,0.000000,23261.460804,0.000000,24744.124072,0.000000,26106.152916,0.000000,27222.298188,0.000000,28339.817297,0.000000,
01059,40987.175166,0.000000,45897.525880,0.000000,49368.583193,0.000000,52553.234422,0.000000,55160.573778,0.000000,57769.254443,0.000000,
01061,33247.963364,0.000000,36728.219401,0.000000,39191.815417,0.000000,41454.152485,0.000000,43307.600434,0.000000,45162.967424,0.000000,
01063,10143.101278,0.000000,10786.728757,0.000000,11252.423863,0.000000,11685.742158,0.000000,12044.087939,0.000000,12405.375296,0.000000,
01065,18063.487411,0.000000,19346.401764,0.000000,20258.904875,0.000000,21099.359927,0.000000,21789.408287,0.000000,22481.334345,0.000000,
01067,21159.750571,0.000000,23127.995905,0.000000,24523.892037,0.000000,25807.258787,0.000000,26859.576724,0.000000,27913.688853,0.000000,
01069,139445.054557,0.000000,159636.737669,0.000000,173901.581784,0.000000,186984.518280,0.000000,197692.832850,0.000000,208404.335651,0.000000,
01071,70496.757182,0.000000,79695.232271,0.000000,86190.636182,0.000000,92146.134179,0.000000,97019.649308,0.000000,101893.820678,0.000000,
01073,866022.897695,0.000000,976530.331463,0.000000,1054744.714591,0.000000,1126561.234683,0.000000,1185392.096225,0.000000,1244278.918917,0.000000,
01075,17816.145839,0.000000,19552.960680,0.000000,20783.202901,0.000000,21913.399234,0.000000,22839.601725,0.000000,23766.978299,0.000000,
01077,126538.181395,0.000000,144265.004522,0.000000,156782.378524,0.000000,168259.157190,0.000000,177650.774937,0.000000,187043.591793,0.000000,
01079,44401.707623,0.000000,49836.818953,0.000000,53675.373753,0.000000,57195.221314,0.000000,60075.808264,0.000000,62956.955363,0.000000,
01081,193944.635085,0.000000,222634.700202,0.000000,242893.045785,0.000000,261466.995662,0.000000,276666.161714,0.000000,291867.130729,0.000000,
01083,110321.156670,0.000000,124943.848798,0.000000,135265.749124,0.000000,144727.491090,0.000000,152468.916334,0.000000,160210.341579,0.000000,
01085,13535.340551,0.000000,14802.904026,0.000000,15712.054005,0.000000,16553.559876,0.000000,17246.868038,0.000000,17943.876768,0.000000,
01087,25863.913081,0.000000,28220.825619,0.000000,29895.746916,0.000000,31437.569580,0.000000,32702.959330,0.000000,33971.395173,0.000000,
01089,473961.563737,0.000000,548259.080024,0.000000,600714.922499,0.000000,648805.442371,0.000000,688155.804171,0.000000,727508.934232,0.000000,
01091,24815.634396,0.000000,26893.395278,0.000000,28381.733645,0.000000,29758.342434,0.000000,30891.965939,0.000000,32031.238515,0.000000,
01093,39919.576831,0.000000,44767.321561,0.000000,48194.491148,0.000000,51339.046207,0.000000,53913.642753,0.000000,56489.618575,0.000000,
01095,126375.547747,0.000000,144271.395009,0.000000,156904.567827,0.000000,168485.449706,0.000000,177961.004109,0.000000,187436.784724,0.000000,
01097,572695.230564,5898.344819,657325.969964,11798.719431,717143.765837,14994.518761,772021.231193,21746.692098,816947.399362,25105.911389,861893.988814,29265.040838,
01099,28321.262854,0.039399,31187.757154,0.083210,33216.111226,0.083210,35078.285950,0.083210,36603.596113,0.083210,38130.242870,0.083210,
01101,315330.850505,0.000000,360911.602956,0.000000,393168.097607,0.000000,422783.394072,0.000000,447042.101063,0.000000,471322.576622,0.000000,
01103,166318.009260,0.000000,191120.487558,0.000000,208641.888881,0.000000,224711.045924,0.000000,237863.242331,0.000000,251019.092999,0.000000,
01105,11220.752385,0.000000,11649.901685,0.000000,11971.752041,0.000000,12277.573312,0.000000,12534.227584,0.000000,12795.873948,0.000000,
01107,23582.569538,0.000000,25668.207600,0.000000,27149.116122,0.000000,28511.671239,0.000000,29629.546939,0.000000,30749.822093,0.000000,
01109,40712.232408,0.000000,44859.288457,0.000000,47797.033528,0.000000,50496.022085,0.000000,52707.948553,0.000000,54922.749688,0.000000,
01111,28777.058878,0.000000,31772.074645,0.000000,33892.758522,0.000000,35840.464634,0.000000,37436.279598,0.000000,39033.831507,0.000000,
01113,69788.804616,0.000000,78875.090629,0.000000,85304.016298,0.000000,91205.885862,0.000000,96039.908917,0.000000,100878.006528,0.000000,
01115,113526.078929,0.000000,129525.961240,0.000000,140822.248741,0.000000,151178.487781,0.000000,159652.565299,0.000000,168127.263113,0.000000,
01117,275627.606583,0.000000,318119.262181,0.000000,348116.298271,0.000000,375615.240959,0.000000,398115.361648,0.000000,420616.244101,0.000000,
01119,15425.336328,0.000000,16361.077861,0.000000,17033.997143,0.000000,17657.835163,0.000000,18172.387158,0.000000,18690.126734,0.000000,
01121,107932.871944,0.000000,121682.295375,0.000000,131396.926767,0.000000,140307.327830,0.000000,147600.874101,0.000000,154896.944901,0.000000,
01123,53887.213359,0.000000,60231.644779,0.000000,64715.556753,0.000000,68828.970422,0.000000,72196.388999,0.000000,75565.288207,0.000000,
01125,263542.841300,0.000000,300377.919802,0.000000,326401.206420,0.000000,350268.558738,0.000000,369803.992535,0.000000,389345.347810,0.000000,
01127,86845.241012,0.000000,97381.968498,0.000000,104830.331682,0.000000,111664.128671,0.000000,117259.091972,0.000000,122856.916854,0.000000,
01129,22644.606847,0.237030,25336.752306,0.492940,27237.394157,0.629663,28979.828242,1.051848,30405.565459,1.199853,31831.389151,1.199853,
01131,13177.052437,0.000000,14014.060756,0.000000,14619.324383,0.000000,15182.235112,0.000000,15647.560637,0.000000,16116.541098,0.000000,
01133,32543.144749,0.000000,36953.587067,0.000000,40068.467470,0.000000,42924.719651,0.000000,45262.224458,0.000000,47600.177163,0.000000,
04001,104546.713677,0.000000,121448.233175,0.000000,133378.196870,0.000000,144313.682202,0.000000,153260.701759,0.000000,162207.564123,0.000000,
04003,183114.794628,0.000000,210647.989336,0.000000,230093.758954,0.000000,247925.193940,0.000000,262518.266179,0.000000,277114.253839,0.000000,
04005,192195.864343,0.000000,222298.138317,0.000000,243548.454973,0.000000,263028.887579,0.000000,278968.019916,0.000000,294907.624665,0.000000,
04007,73056.598465,0.000000,83624.998912,0.000000,91098.327816,0.000000,97956.589952,0.000000,103572.553486,0.000000,109192.168569,0.000000,
04009,49505.853579,0.000000,56134.938594,0.000000,60814.292722,0.000000,65103.700673,0.000000,68613.216269,0.000000,72122.731865,0.000000,
04011,10728.432339,0.000000,11933.738355,0.000000,12793.898823,0.000000,13587.723552,0.000000,14240.407299,0.000000,14895.567528,0.000000,
04012,33611.699868,0.000000,39726.323670,0.000000,44042.528706,0.000000,47999.049990,0.000000,51236.203767,0.000000,54473.357545,0.000000,
04013,5513345.680650,0.000000,6405700.082684,0.000000,7035649.425279,0.000000,7613132.896120,0.000000,8085637.289532,0.000000,8558155.630700,0.000000,
04015,289490.403064,0.000000,336478.822047,0.000000,369648.828095,0.000000,400055.657752,0.000000,424934.570509,0.000000,449813.951060,0.000000,
04017,154992.642276,0.000000,179545.129877,0.000000,196881.848079,0.000000,212777.004120,0.000000,225784.018368,0.000000,238792.495069,0.000000,
04019,1413696.044352,0.000000,1644514.377950,0.000000,1807456.700716,0.000000,1956827.328817,0.000000,2079043.796912,0.000000,2201263.512821,0.000000,
04021,504343.442451,0.000000,570700.906458,0.000000,617546.139099,0.000000,660490.292699,0.000000,695628.034724,0.000000,730767.037968,0.000000,
04023,65702.032771,0.000000,75288.486775,0.000000,82056.161764,0.000000,88260.316158,0.000000,93336.719023,0.000000,98413.340859,0.000000,
04025,298490.904556,0.000000,345099.396784,0.000000,378000.464097,0.000000,408160.337504,0.000000,432836.940054,0.000000,457513.813177,0.000000,
04027,292524.244541,0.000000,338730.889103,0.000000,371350.971482,0.000000,401254.816076,0.000000,425722.866530,0.000000,450191.910290,0.000000,
05001,22791.053836,0.000000,24819.501593,0.000000,26261.173313,0.000000,27588.408292,0.000000,28677.772070,0.000000,29769.835365,0.000000,
05003,26129.258515,0.000000,28417.870358,0.000000,30040.573398,0.000000,31532.209189,0.000000,32755.137179,0.000000,33980.014919,0.000000,
05005,59796.144054,0.000000,69466.985240,0.000000,76293.461371,0.000000,82551.064491,0.000000,87670.921589,0.000000,92790.778687,0.000000,
05007,303240.084249,0.000000,347061.476228,0.000000,377996.332046,0.000000,406354.515879,0.000000,429557.414694,0.000000,452760.902647,0.000000,
05009,50070.179367,0.000000,57105.551665,0.000000,62071.696817,0.000000,66623.996540,0.000000,70348.605404,0.000000,74073.214268,0.000000,
05011,13230.279742,0.000000,14105.771866,0.000000,14729.775890,0.000000,15305.224168,0.000000,15778.107045,0.000000,16252.593154,0.000000,
05013,6060.590378,0.000000,6424.793302,0.000000,6683.663442,0.000000,6922.008999,0.000000,7117.656988,0.000000,7313.808353,0.000000,
05015,36554.911269,0.000000,41373.278553,0.000000,44776.490850,0.000000,47897.277884,0.000000,50451.362764,0.000000,53006.009310,0.000000,
05017,12369.529259,0.000000,12753.429065,0.000000,13051.777926,0.000000,13340.719562,0.000000,13586.281658,0.000000,13838.903576,0.000000,
05019,27111.665017,0.000000,29284.553438,0.000000,30819.217385,0.000000,32226.466196,0.000000,33378.125895,0.000000,34529.992636,0.000000,
05021,18106.119273,0.000000,19233.291582,0.000000,20043.330853,0.000000,20794.104111,0.000000,21413.299915,0.000000,22036.325656,0.000000,
05023,35675.122868,0.000000,40897.190934,0.000000,44583.436687,0.000000,47962.542757,0.000000,50727.295015,0.000000,53492.070385,0.000000,
05025,10062.042708,0.000000,10810.671871,0.000000,11341.377956,0.000000,11829.186091,0.000000,12229.110123,0.000000,12629.671931,0.000000,
05027,28477.796728,0.000000,30569.820990,0.000000,32048.582285,0.000000,33405.310879,0.000000,34516.091091,0.000000,35627.447286,0.000000,
05029,26376.591845,0.000000,29081.367151,0.000000,30991.262959,0.000000,32742.370930,0.000000,34175.317871,0.000000,35608.438070,0.000000,
05031,129165.883875,0.000000,146507.212534,0.000000,158763.540745,0.000000,170007.403461,0.000000,179212.284011,0.000000,188421.352211,0.000000,
05033,85042.855575,0.000000,97214.601314,0.000000,105813.239329,0.000000,113699.220114,0.000000,120153.713335,0.000000,126610.013583,0.000000,
05035,65086.427246,0.000000,72816.516824,0.000000,78306.699654,0.000000,83358.125734,0.000000,87502.118908,0.000000,91654.534380,0.000000,
05037,20946.541185,0.000000,22630.888975,0.000000,23835.356163,0.000000,24948.297402,0.000000,25864.160389,0.000000,26784.112761,0.000000,
05039,9090.550828,0.000000,9615.011925,0.000000,9989.116680,0.000000,10334.302133,0.000000,10618.086611,0.000000,10902.935175,0.000000,
05041,14543.404922,0.000000,15469.682070,0.000000,16145.655209,0.000000,16777.741763,0.000000,17302.252635,0.000000,17832.416496,0.000000,
05043,22998.314738,0.000000,25448.344731,0.000000,27185.430569,0.000000,28782.119706,0.000000,30091.100747,0.000000,31402.096296,0.000000,
05045,156679.987852,0.000000,179570.235843,0.000000,195733.579205,0.000000,210553.079374,0.000000,222679.955093,0.000000,234808.237027,0.000000,
05047,22972.340241,0.000000,25517.011494,0.000000,27312.779810,0.000000,28958.619922,0.000000,30305.043205,0.000000,31651.328379,0.000000,
05049,16039.172220,0.000000,17969.901328,0.000000,19332.810596,0.000000,20582.167205,0.000000,21604.381539,0.000000,22626.606097,0.000000,
05051,130772.443021,0.000000,149294.090041,0.000000,162380.282665,0.000000,174382.955871,0.000000,184207.542309,0.000000,194035.428691,0.000000,
05053,23725.555848,0.000000,26833.554914,0.000000,29028.189932,0.000000,31040.380919,0.000000,32686.988286,0.000000,34333.808162,0.000000,
05055,54715.812921,0.000000,61540.713239,0.000000,66370.085981,0.000000,70803.756599,0.000000,74435.336355,0.000000,78070.047315,0.000000,
05057,26342.937050,0.000000,28365.844786,0.000000,29806.767378,0.000000,31135.100499,0.000000,32226.418788,0.000000,33321.249656,0.000000,
05059,43356.797220,0.000000,48974.146704,0.000000,52948.882130,0.000000,56597.869314,0.000000,59586.687202,0.000000,62578.060476,0.000000,
