County FIPS,Total Population 2055,Affected Population 2055,Total Population 2080,Affected Population 2080,Total Population 2100,Affected Population 2100,
01001,83258.744457,0.000000,99115.844313,0.000000,111818.665022,0.000000,
01003,284213.757603,5872.494455,339847.770932,15873.492164,384354.981594,22257.516653,
01005,35213.847431,0.000000,39665.900978,0.000000,43250.924975,0.000000,
01007,29976.478694,0.000000,33931.332699,0.000000,37106.918684,0.000000,
01009,84649.472139,0.000000,99780.717863,0.000000,111885.714442,0.000000,
01011,11731.837294,0.000000,12258.926173,0.000000,12702.848776,0.000000,
01013,26218.229207,0.000000,29250.291479,0.000000,31704.831487,0.000000,
01015,176950.935629,0.000000,209584.056583,0.000000,235708.188505,0.000000,
01017,44905.169714,0.000000,50774.870667,0.000000,55496.755988,0.000000,
01019,38797.462439,0.000000,45609.509117,0.000000,51059.146459,0.000000,
01021,62291.573320,0.000000,72629.426506,0.000000,80899.709055,0.000000,
01023,18239.094866,0.000000,20704.990238,0.000000,22689.140285,0.000000,
01025,34820.113639,1.555269,39909.065699,4.552972,43985.266073,6.275297,
01027,18243.070225,0.000000,20649.233391,0.000000,22582.309198,0.000000,
01029,20332.561004,0.000000,23307.914454,0.000000,25690.891043,0.000000,
01031,72507.197096,0.000000,85116.110517,0.000000,95211.239628,0.000000,
01033,80505.631058,0.000000,94982.234588,0.000000,106571.798645,0.000000,
01035,15871.934933,0.000000,17428.035133,0.000000,18689.999619,0.000000,
01037,16180.439785,0.000000,18768.806870,0.000000,20845.178279,0.000000,
01039,50355.142939,0.000000,57384.570754,0.000000,63024.464852,0.000000,
01041,16103.618158,0.000000,17397.662663,0.000000,18451.935356,0.000000,
01043,120107.602153,0.000000,142018.326497,0.000000,159549.286368,0.000000,
01045,77262.586132,0.000000,92274.074217,0.000000,104286.332220,0.000000,
01047,59413.081194,0.000000,68308.575667,0.000000,75494.437352,0.000000,
01049,102949.600351,0.000000,120738.236523,0.000000,134976.576249,0.000000,
01051,116192.859592,0.000000,136409.971861,0.000000,152595.173605,0.000000,
01053,53430.054595,0.000000,61855.661131,0.000000,68604.549331,0.000000,
